aid,year,structure,category,sequence
688,1874,C,conservative,D
688,1878,C,excluded,C
688,1882,C,aspirant,A
688,1886,B,established,B
70,1870,A,,C
70,1878,B,,C
70,1882,C,conservative,C
70,1886,D,,A
70,1894,D,established,A
700,1907,C,excluded,D
700,1911,C,excluded,D
700,1915,C,aspirant,D
706,1903,C,excluded,D
706,1907,A,excluded,C
706,1911,A,aspirant,A
706,1915,A,conservative,A
706,1919,A,conservative,A
712,1841,C,excluded,C
712,1845,C,established,C
712,1853,D,,A
714,1891,C,conservative,C
714,1895,D,established,A
721,1882,C,,C
721,1894,C,excluded,C
721,1902,B,established,D
721,1906,B,established,B
725,1894,A,,C
725,1898,D,excluded,C
725,1922,C,excluded,C
725,1926,B,,C
725,1930,D,established,A
725,1934,D,excluded,D
725,1938,A,,A
729,1892,C,conservative,C
729,1896,D,aspirant,D
729,1900,D,conservative,D
729,1904,B,established,B
73,1836,A,established,A
735,1818,A,,B
735,1826,C,established,A
735,1830,A,excluded,C
735,1834,C,established,A
735,1838,A,excluded,D
735,1842,A,excluded,C
736,1887,C,,D
736,1903,C,conservative,C
736,1907,C,established,A
741,1907,B,established,B
741,1911,D,conservative,D
742,1910,A,,A
742,1914,B,established,B
744,1870,C,,C
744,1874,C,excluded,C
744,1882,A,,D
750,1872,C,,C
750,1880,C,excluded,D
756,1861,C,conservative,C
756,1869,C,,C
762,1907,C,established,C
763,1843,C,,C
763,1847,C,excluded,C
763,1855,C,excluded,C
768,1877,D,excluded,C
768,1881,C,aspirant,D
768,1885,A,excluded,C
768,1889,A,excluded,C
768,1893,C,excluded,C
768,1897,C,,C
768,1913,B,established,B
768,1917,B,established,B
771,1829,A,established,A
776,1855,A,,A
776,1859,C,,C
776,1867,A,established,A
776,1875,C,excluded,C
776,1879,B,,C
776,1891,D,excluded,D
776,1895,C,conservative,D
8,1905,C,excluded,D
8,1909,C,,C
82,1908,C,conservative,C
83,1884,C,excluded,C
83,1888,C,,C
84,1881,C,,C
85,1848,C,,C
85,1852,D,conservative,D
85,1860,D,conservative,D
86,1802,C,conservative,C
86,1810,C,conservative,C
91,1893,C,,D
91,1897,A,established,A
91,1901,C,excluded,C
91,1905,A,established,B
94,1870,D,,D
94,1874,A,established,A
94,1878,A,established,A
